RunID,os,cpu,physical_cores,system_ram_gb,gpu,GPU_ram_mb,cuda_version,training_type,game_name,batch_size,learning_rate,buffer_size,beta,epsilon,lambd,num_epoch,learning_rate_schedule,normalize,hidden_units,num_layers,vis_encode_type,reward_extrinsic_gamma,reward_extrinsic_strength,keep_checkpoints,max_steps,time_horizon,summary_freq
20260104-015323,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000038,40960,0.003406,0.276,0.946,5,linear,true,32,2,simple,,,5,100000,512,12000
20260104-015423,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000199,81920,0.009221,0.296,0.947,10,constant,false,64,3,simple,,,5,2000000,512,12000
20260104-020259,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000165,40960,0.000261,0.157,0.947,3,linear,false,64,1,simple,,,5,100000,256,12000
20260104-020340,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000032,81920,0.001758,0.144,0.927,8,linear,true,32,1,simple,,,5,1000000,512,12000
20260104-021215,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,1024,0.000165,40960,0.009697,0.233,0.94,4,constant,false,256,2,simple,,,5,1000000,1024,12000
20260104-021719,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,1024,0.000042,40960,0.006502,0.209,0.918,10,constant,true,64,3,simple,,,5,1000000,2048,12000
20260104-021837,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,512,0.000148,20480,0.00159,0.168,0.933,3,linear,true,128,2,simple,,,5,2000000,1024,12000
20260104-022905,Windows 11,AMD Ryzen 7 9800X3D 8-Core Processor,8,66157800000,NVIDIA GeForce RTX 5070 Ti,16303,,ppo,3DBallHard,2048,0.000203,163840,0.009133,0.156,0.939,4,linear,true,512,3,simple,,,5,500000,512,12000
20260104-022906,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000225,40960,0.00856,0.232,0.944,8,linear,true,32,3,simple,,,5,100000,1024,12000
20260104-023016,Windows 11,AMD Ryzen 7 5700X 8-Core Processor,8,34265700000,NVIDIA GeForce RTX 5080,16303,,ppo,3DBall,2048,0.000115,163840,0.004265,0.15,0.922,10,linear,false,256,3,simple,,,5,1000000,256,12000
