RunID,final_reward,max_reward,time_to_max_reward_sec,total_duration_sec,mean_policy_loss,mean_value_loss,mean_entropy,final_entropy,max_cpu_usage_percent,mean_cpu_usage_percent,max_ram_used_mb,mean_ram_used_mb,mean_cpu_frequency,max_cpu_frequency,max_gpu_usage_percent,mean_gpu_usage_percent,max_vram_used_mb,mean_vram_used_mb,max_game_cpu_usage_percent,mean_game_cpu_usage_percent,max_game_memory_usage_mb,mean_game_memory_usage_mb,id
20251227-004957,93.5923233032,100.0000152588,412.2137145996,633.6864013672,0.0245956024,0.2824896499,1.2598206071,1.1678277254,71.8666687012,64.2276105996,22490.5,22399.5913968373,3133.3332519531,3133.3332519531,0.5,0.0050200804,927,927,17.3478965759,11.5446355084,0.0,0.0,8896
20251227-010039,17.3453140259,17.3453140259,165.4077758789,165.4077758789,0.0243185265,0.1001184691,1.389594299,1.3531285524,70.0500030518,64.4731714202,22430,22370.3779535061,3133.3332519531,3133.3332519531,0,0,927,927,15.5886201859,10.4530831546,0.0,0.0,8897
20251227-010335,100.0000152588,100.0000152588,276.9856567383,620.1685791016,0.0197636794,0.0569721252,1.2378638236,1.0848845243,70.4499969482,64.4186748597,22773,22592.2058076054,3133.3332519531,3133.3332519531,0.3333333433,0.0020080322,927,927,19.0235691071,11.7403176894,0.0,0.0,8898
20251227-011403,1.9787179232,2.1021332741,608.5112915039,708.4060058594,0.0128056775,0.2187354888,1.3897064572,1.3728619814,70.7333297729,64.2113453279,23076.5,22734.9548192771,3133.3332519531,3133.3332519531,0.3333333433,0.0020080322,929,927.0301204819,16.5942649841,10.660195365,0.0,0.0,8899
20251227-012600,3.7104420662,3.9537818432,957.2949829102,959.8998413086,0.0139150101,0.0941683874,1.3621594231,1.2942154408,82.9000015259,64.5271082499,23119,22766.0089773155,3133.3332519531,3133.3332519531,0.3333333433,0.0080321288,927,927,15.6360387802,10.8908929021,0.0,0.0,8900
20251227-014207,1.1864761114,1.1958014965,82.0028762817,90.8660812378,0.0257260967,0.127860494,1.4138694823,1.4093757868,68.1500015259,64.1733335495,22485.666015625,22419.1416015625,3133.3332519531,3133.3332519531,0,0,927,927,15.1997613907,10.786218071,0.0,0.0,8901
20251227-014402,12.5215930939,14.3493690491,198.2964019775,208.2475738525,0.014178589,0.2303910914,1.3793400468,1.3329182863,67.4499969482,63.6593486507,22625.5,22499.8048780488,3133.3332519531,3133.3332519531,0.3333333433,0.0081300815,927,927,15.7634916306,11.3524638851,0.0,0.0,8902
20251227-014757,100.0000152588,100.0000152588,325.5826416016,614.8962402344,0.0191148526,0.0176765999,1.2730299371,1.1051409245,72.1999969482,64.6649600339,22803.5,22627.2600362387,3133.3332519531,3133.3332519531,0.5,0.0060240964,927,927,19.1357936859,11.8632641097,0.0,0.0,8903
20251227-015821,25.3224506378,33.5166702271,402.1190795898,414.6363525391,0.0171825384,0.1680631184,1.4145515626,1.4048882723,71.3499984741,63.8305219168,22504,22409.9096620858,3133.3332519531,3133.3332519531,0.5,0.0240963859,927,927,19.4573707581,10.6475563566,0.0,0.0,8904
20251227-020522,2.666457653,2.666457653,233.5041503906,233.5041503906,0.0350899895,0.2609674943,1.3906005883,1.3629289865,68.75,64.4975611989,22484.5,22413.1544874238,3133.3332519531,3133.3332519531,0.6666666865,0.0162601631,927.6666870117,927.0162606588,16.9440422058,10.6015458921,0.0,0.0,8905
